dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker
11562.32,10522.37,17691.04,5.37,10936.01,False,False,False,False,False,False,False,4.0,131.01,4.0,Biotechnology,424.1733,-307.414,-310.5144,423.3762,411.4414,343.944,420.2955,-0.7,424.36,0.03670197676590858,1.0004401502876301,1.002323701710205,1.03139839598057,1.0096705770106984,49.75,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,VRTX
825.1,631.28,1186.09,5.37,778.58,False,False,False,False,False,False,False,4.0,4.33,4.0,Biotechnology,1024.2232,721.4242,691.38,821.9892,1043.9198,654.0858,802.3557,-30.01,825.75,1.000787783298994,0.8062207534451475,1.0045752425944283,0.7910090411159939,1.0291570185143573,35.02,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,REGN
,-93.84,,7.77,,True,False,False,True,True,False,False,4.0,0.0,4.0,Biotechnology,153.6576,-32.8372,-31.1328,129.1004,74.4128,-26.3296,32.4337,21.0,22.1,,0.14382627348077806,0.1711845974141056,0.29699191536939884,0.6813900356727725,-677.68,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,MRNA
197.49,169.24,609.3,5.37,136.15,False,False,False,False,False,False,False,4.0,0.99,4.0,Drug Manufacturers - General,319.9714,187.2185,189.164,230.5952,319.9714,154.2597,230.5952,-20.44,188.4,0.9539723530305332,0.588802624234541,0.8170161391043699,0.588802624234541,0.8170161391043699,36.52,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,BIIB
223.39,187.12,571.67,5.37,232.26,False,False,False,False,False,False,False,4.0,7.34,9.1,Drug Manufacturers - General,189.4625,229.9616,260.8956,174.524,188.474,248.2634,174.1446,2.21,186.28,0.8338779712610234,0.9832024807019859,1.0673603630446242,0.988359137069304,1.06968576688568,34.72,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,JNJ
455.08,390.06,714.18,5.37,319.96,False,False,False,False,False,False,False,4.0,2.01,4.0,Medical - Healthcare Plans,572.5449,586.404,578.4436,622.6176,591.3855,570.492,641.2032,-10.37,404.43,0.888700887755999,0.7063725482490544,0.6495640341680029,0.6838686440570492,0.6307360911486405,14.59,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,UNH
83.85,44.71,79.4,5.37,34.44,False,False,False,False,False,False,False,4.0,7.31,4.21,Drug Manufacturers - General,48.9978,30.057,29.946,41.0558,47.1942,32.3145,41.6537,1.86,42.45,0.5062611806797854,0.8663654286518987,1.0339586611392302,0.8994749354793597,1.0191171492568487,24.92,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,GSK
102.29,60.34,123.42,5.37,59.02,False,False,False,False,False,False,False,4.0,11.86,5.0,Drug Manufacturers - General,90.9902,278.3475,112.292,84.942,81.6172,99.2172,85.4865,-2.58,85.5,0.8358588327304721,0.9396616338902432,1.0065691883873702,1.047573305626755,1.000157919671527,38.7,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,AZN
338.04,234.87,480.64,5.37,393.99,False,False,False,False,False,False,False,4.0,7.37,4.0,Medical - Healthcare Plans,538.424,444.8927,440.7384,592.212,564.1575,455.5266,609.63,-33.15,512.13,1.5149982250621228,0.9511648812088614,0.8647747766002716,0.9077784129431941,0.8400669258402638,15.42,Healthcare,stockoracle_payloads/healthcare_plans_2025-10-27.json,ELV
595.1,443.55,1590.6,5.37,564.29,False,False,False,False,False,False,False,4.0,11.35,11.62,Medical - Healthcare Plans,288.1044,305.5343,306.1944,438.363,286.596,284.5791,448.1044,-31.27,439.05,0.7377751638380105,1.5239267432222487,1.0015671943115638,1.5319474102918393,0.9797939944352254,24.55,Healthcare,stockoracle_payloads/healthcare_plans_2025-10-27.json,CI
