dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker,predictedOracle,strategyUsed,absError,pctError
,,,7.77,,True,False,True,False,True,False,False,4.0,0.0,4.0,Auto - Manufacturers,16.6875,15.872,16.0713,86.922,14.5515,11.4514,26.34,38.55,16.73,,1.0025468164794007,0.1924714111502266,1.1497096519259182,0.6351556567957479,59.93,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,XPEV,16.85066260972303,auto_manufacturers,0.12066260972303056,0.007212349654693996
,-84.56,219.14,6.27,44.27,True,False,False,True,False,False,False,4.0,7.79,6.33,Banks - Diversified,221.1792,235.2003,233.8588,278.1357,222.4288,229.4687,266.0865,41.35,212.55,,0.9609854814557608,0.764195319047501,0.9555866866161216,0.7988003900987085,28.1,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,JPM,204.15160379999998,min_ps_pb,8.398396200000036,0.039512567395907014
,-7.32,131.78,6.87,19.37,True,False,False,True,False,False,False,4.0,15.72,8.45,Banks - Diversified,44.781,0.0,46.3379,61.6237,44.781,0.0,49.8615,21.21,43.37,,0.9684911011366428,0.7037876661089808,0.9684911011366428,0.86980937196033,19.34,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,BAC,43.258446,min_ps_pb,0.11155399999999815,0.002572146645146372
4583.52,4403.71,27132.73,7.17,,False,False,False,False,True,False,False,4.0,11.7,14.7,Financial - Capital Markets,461.7488,0.0,595.3809,666.1134,437.0752,0.0,681.695,68.17,466.13,0.1016969490697106,1.0094882758764072,0.6997757438898542,1.066475517256527,0.6837808697438004,4.57,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,GS,466.0919596,mean_ps_pb,0.03804039999999986,8.160899319932179e-05
,-52.29,53.31,6.57,101.45,True,False,False,True,False,False,False,4.0,13.72,15.67,Banks - Diversified,60.61,0.0,113.4675,72.694,59.0425,0.0,73.8418,47.99,58.39,,0.9633723807952485,0.8032299777148045,0.9889486386924674,0.7907445376466987,17.47,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,WFC,53.357396,min_ps_pb,5.032603999999999,0.08618948450077067
1087.38,846.32,13222.62,7.17,162.77,False,False,False,False,False,False,False,4.0,26.08,25.37,Banks - Diversified,69.3824,74.1675,73.9629,97.4877,67.2142,58.29,86.5545,46.08,67.62,0.0621861722672846,0.9745987455031824,0.6936259651217539,1.0060374147129625,0.7812418765055543,11.61,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,C,67.0233984,min_ps_pb,0.5966015999999996,0.008822857142857137
1180.98,-46.01,,5.37,1500.52,False,False,False,True,False,False,False,4.0,29.6,26.57,Drug Manufacturers - General,799.599,983.9076,970.6664,763.551,711.591,817.1618,712.6476,-14.34,963.6,0.8159325306101712,1.2051040584092776,1.2619982162291712,1.3541486612393918,1.3521409459598264,81.96,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,LLY,984.93732,dcf_pref_ps_cap,21.337319999999977,0.02214333748443335
11562.32,10522.37,17691.04,5.37,10936.01,False,False,False,False,False,False,False,4.0,131.01,4.0,Biotechnology,424.1733,-307.414,-310.5144,423.3762,411.4414,343.944,420.2955,-0.7,424.36,0.0367019767659085,1.00044015028763,1.002323701710205,1.03139839598057,1.0096705770106984,49.75,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,VRTX,424.2229524,max_ps_pb,0.1370476000000167,0.00032295126779153713
825.1,631.28,1186.09,5.37,778.58,False,False,False,False,False,False,False,4.0,4.33,4.0,Biotechnology,1024.2232,721.4242,691.38,821.9892,1043.9198,654.0858,802.3557,-30.01,825.75,1.000787783298994,0.8062207534451475,1.0045752425944283,0.7910090411159939,1.0291570185143573,35.02,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,REGN,825.5238992,max_ps_pb,0.22610080000004018,0.00027381265516202263
,-93.84,,7.77,,True,False,False,True,True,False,False,4.0,0.0,4.0,Biotechnology,153.6576,-32.8372,-31.1328,129.1004,74.4128,-26.3296,32.4337,21.0,22.1,,0.143826273480778,0.1711845974141056,0.2969919153693988,0.6813900356727725,-677.68,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,MRNA,129.3586008,max_ps_pb,107.25860080000001,4.853330352941176
